"filename", "language", "JSON", "Markdown", "YAML", "JavaScript", "Shell Script", "HTML", "Vue", "CSS", "comment", "blank", "total"
"/Users/admin/code/vue-router/docs/ja/api/map.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 13, 52
"/Users/admin/code/vue-router/docs/ja/api/on.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 23
"/Users/admin/code/vue-router/docs/ja/api/properties.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11, 22
"/Users/admin/code/vue-router/docs/ja/api/redirect.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 12, 31
"/Users/admin/code/vue-router/docs/ja/api/replace.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"/Users/admin/code/vue-router/docs/ja/api/start.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 10, 21
"/Users/admin/code/vue-router/docs/ja/api/stop.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/admin/code/vue-router/docs/ja/basic.md", "Markdown", 0, 50, 0, 0, 0, 0, 0, 0, 2, 15, 67
"/Users/admin/code/vue-router/docs/ja/installation.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 16, 45
"/Users/admin/code/vue-router/docs/ja/lazy.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 15, 64
"/Users/admin/code/vue-router/docs/ja/link.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 3, 31, 81
"/Users/admin/code/vue-router/docs/ja/named.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/Users/admin/code/vue-router/docs/ja/nested.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 0, 13, 80
"/Users/admin/code/vue-router/docs/ja/options.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 29, 61
"/Users/admin/code/vue-router/docs/ja/pipeline/README.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 27, 54
"/Users/admin/code/vue-router/docs/ja/pipeline/activate.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 22
"/Users/admin/code/vue-router/docs/ja/pipeline/can-activate.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 13, 28
"/Users/admin/code/vue-router/docs/ja/pipeline/can-deactivate.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 13, 28
"/Users/admin/code/vue-router/docs/ja/pipeline/can-reuse.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11, 22
"/Users/admin/code/vue-router/docs/ja/pipeline/data.md", "Markdown", 0, 107, 0, 0, 0, 0, 0, 0, 0, 36, 143
"/Users/admin/code/vue-router/docs/ja/pipeline/deactivate.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 22
"/Users/admin/code/vue-router/docs/ja/pipeline/hooks.md", "Markdown", 0, 101, 0, 0, 0, 0, 0, 0, 0, 42, 143
"/Users/admin/code/vue-router/docs/ja/route.md", "Markdown", 0, 71, 0, 0, 0, 0, 0, 0, 0, 37, 108
"/Users/admin/code/vue-router/docs/ja/view.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/admin/code/vue-router/docs/zh-cn/README.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/admin/code/vue-router/docs/zh-cn/SUMMARY.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/admin/code/vue-router/docs/zh-cn/api/README.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/admin/code/vue-router/docs/zh-cn/api/after-each.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 22
"/Users/admin/code/vue-router/docs/zh-cn/api/alias.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 10, 26
"/Users/admin/code/vue-router/docs/zh-cn/api/before-each.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 11, 39
"/Users/admin/code/vue-router/docs/zh-cn/api/go.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 14, 38
"/Users/admin/code/vue-router/docs/zh-cn/api/map.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 48
"/Users/admin/code/vue-router/docs/zh-cn/api/on.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/admin/code/vue-router/docs/zh-cn/api/properties.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11, 22
"/Users/admin/code/vue-router/docs/zh-cn/api/redirect.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 10, 27
"/Users/admin/code/vue-router/docs/zh-cn/api/replace.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"/Users/admin/code/vue-router/docs/zh-cn/api/start.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 14
"/Users/admin/code/vue-router/docs/zh-cn/api/stop.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/admin/code/vue-router/docs/zh-cn/basic.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 2, 12, 59
"/Users/admin/code/vue-router/docs/zh-cn/installation.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 16, 45
"/Users/admin/code/vue-router/docs/zh-cn/lazy.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 16, 65
"/Users/admin/code/vue-router/docs/zh-cn/link.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 3, 25, 63
"/Users/admin/code/vue-router/docs/zh-cn/named.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/Users/admin/code/vue-router/docs/zh-cn/nested.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 13, 79
"/Users/admin/code/vue-router/docs/zh-cn/options.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 29, 61
"/Users/admin/code/vue-router/docs/zh-cn/pipeline/README.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 27, 54
"/Users/admin/code/vue-router/docs/zh-cn/pipeline/activate.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 22
"/Users/admin/code/vue-router/docs/zh-cn/pipeline/can-activate.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 13, 28
"/Users/admin/code/vue-router/docs/zh-cn/pipeline/can-deactivate.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 13, 28
